android-0116;open.free.wifi.finder.com-107B8B57A5B12EC1473BCA123DE242F18D2085C865910F9773924280A11F6ED1;com.google.android.gms.iid.zzc;java.security.Signature;SHA256withECDSA;{SHA1withRSA/ISO9796-2, RSASSA-PSS, SHA1withDSA, SHA256withDSA, NONEwithDSA, SHA256withRSA, DSA, SHA512withRSA, SHA384withRSA, MD5withRSA/ISO9796-2, SHA1withRSA, DSS, MD4withRSA, MD5withRSA, DSAwithSHA1};First parameter (with value "SHA256withECDSA") should be any of {SHA1withRSA/ISO9796-2, RSASSA-PSS, SHA1withDSA, SHA256withDSA, NONEwithDSA, SHA256withRSA, DSA, SHA512withRSA, SHA384withRSA, MD5withRSA/ISO9796-2, SHA1withRSA, DSS, MD4withRSA, MD5withRSA, DSAwithSHA1}

android-0116;world.easysolution.myluggagechecklist-1210211922031C305198EBBD002B789EA00A42BD6B6EAC52A50ED113CCC34784;com.yasesprox.android.transcommusdk.storage.a;javax.crypto.spec.PBEKeySpec;Third parameter;1024;Third parameter (with value 1024)Variable iterationCountmust be  at least 10000

android-0116;com.tribunegamesmobilestudios.anti.mafia.counter.terrorist-10753911875E2F214F295B3380AB038F7B321BC7437601BFA762C658A4D54399;com.unity3d.player.UnityPlayer;java.security.MessageDigest;Third parameter;0;Third parameter (with value 0)Variable pre_lenmust be  greater than pre_off

android-0116;civilization.invasion.cok.ww2.koa.dominations.empires.gow.throne.mobilestrike.kingdom.clash.of.at.war.and.age.bob-0C0B225EE2215A88FAE42E9BB5914FDB25B6D3CD7762D7E5CA9FF646155F52EB;com.unity3d.player.UnityPlayer;java.security.MessageDigest;Third parameter;0;Third parameter (with value 0)Variable pre_lenmust be  greater than pre_off

android-0116;com.msg.Dubai.desert.prado.drift.apps-12286D3FBA6A3A9A80910CE5183AFCF0AC5E5A8490395B875C603DC0528947BA;com.unity3d.player.UnityPlayer;java.security.MessageDigest;Third parameter;0;Third parameter (with value 0)Variable pre_lenmust be  greater than pre_off

android-0116;com.bredir.boopsie.coronado-0CE2CE9551F6C0C1B016C4F996714DFB92D458D2E02A0C1BBE5BCB728128CEBD;com.google.android.gms.iid.zzc;java.security.Signature;SHA256withECDSA;{SHA1withRSA/ISO9796-2, RSASSA-PSS, SHA1withDSA, SHA256withDSA, NONEwithDSA, SHA256withRSA, DSA, SHA512withRSA, SHA384withRSA, MD5withRSA/ISO9796-2, SHA1withRSA, DSS, MD4withRSA, MD5withRSA, DSAwithSHA1};First parameter (with value "SHA256withECDSA") should be any of {SHA1withRSA/ISO9796-2, RSASSA-PSS, SHA1withDSA, SHA256withDSA, NONEwithDSA, SHA256withRSA, DSA, SHA512withRSA, SHA384withRSA, MD5withRSA/ISO9796-2, SHA1withRSA, DSS, MD4withRSA, MD5withRSA, DSAwithSHA1}

android-0116;com.arludo.eatpreylive-09E59D8B0C1ECF5435BEA03D9A3E036952A3D2FC376E04BEBE387014CB7863D7;com.unity3d.player.UnityPlayer;java.security.MessageDigest;Third parameter;0;Third parameter (with value 0)Variable pre_lenmust be  greater than pre_off

